Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
30/2026 - DP-RIO NEGRO;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;CONJUNTO HABITACIONAL FRANCISCO QUIRINO DINIZ;MS;Rio Negro;5007307;2026;07/02/2026;00:20:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;28.0
1059/2026 - DEPAC-DDOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;NOSSA SENHORA DA APARECIDA;MS;Laguna Carapa;5005251;2026;06/02/2026;23:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;BRANCA;19.0
1059/2026 - DEPAC-DDOS;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;NOSSA SENHORA DA APARECIDA;MS;Laguna Carapa;5005251;2026;06/02/2026;23:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);SUPERIOR INCOMPLETO;BRANCA;19.0
1059/2026 - DEPAC-DDOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;NOSSA SENHORA DA APARECIDA;MS;Laguna Carapa;5005251;2026;06/02/2026;23:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;BRANCA;31.0
1059/2026 - DEPAC-DDOS;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;NOSSA SENHORA DA APARECIDA;MS;Laguna Carapa;5005251;2026;06/02/2026;23:00:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;BRANCA;31.0
998/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Guanandi II;MS;Campo Grande;5002704;2026;06/02/2026;22:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;39.0
998/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;Guanandi II;MS;Campo Grande;5002704;2026;06/02/2026;22:00:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;50.0
962/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;RESIDENCIAL FLORES;MS;Campo Grande;5002704;2026;06/02/2026;22:00:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PARDA;18.0
962/2026 - 1DEAM;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;RESIDENCIAL FLORES;MS;Campo Grande;5002704;2026;06/02/2026;22:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;24.0
962/2026 - 1DEAM;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;RESIDENCIAL FLORES;MS;Campo Grande;5002704;2026;06/02/2026;22:00:00;AUTOR;MASCULINO;BRASILEIRO(A);MEDIO INCOMPLETO;PARDA;24.0
