Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
601/2025 - DP-SONORA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;SONORA;5007935;2025;18/11/2025;07:25:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;PARDA;31.0
601/2025 - DP-SONORA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;CENTRO;MS;SONORA;5007935;2025;18/11/2025;07:25:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;25.0
388/2025 - DP-ROCHEDO;HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;31.0
388/2025 - DP-ROCHEDO;HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;VÍTIMA;FEMININO;BRASILEIRO(A);ALFABETIZADO;PARDA;83.0
388/2025 - DP-ROCHEDO;HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;37.0
388/2025 - DP-ROCHEDO;HOMICIDIO QUALIFICADO COM EMPREGO DE VENENO, FOGO, EXPLOSIVO, ASFIXIA, TORTURA OU OUTRO MEIO INSIDIOSO;HOMICIDIO DOLOSO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA, FATOS TIPICOS QUE RESULTAM EM MORTE;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;VÍTIMA;MASCULINO;N/I;FUNDAMENTAL INCOMPLETO;BRANCA;14.0
388/2025 - DP-ROCHEDO;FEMINICIDIO, NAS CIRCUNSTANCIAS PREVISTAS NOS INCISOS III, IV E VIII DO § 2º DO ART. 121 DESTE CODIGO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL COMPLETO;PARDA;31.0
388/2025 - DP-ROCHEDO;FEMINICIDIO, NAS CIRCUNSTANCIAS PREVISTAS NOS INCISOS III, IV E VIII DO § 2º DO ART. 121 DESTE CODIGO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;VÍTIMA;FEMININO;BRASILEIRO(A);ALFABETIZADO;PARDA;83.0
388/2025 - DP-ROCHEDO;FEMINICIDIO, NAS CIRCUNSTANCIAS PREVISTAS NOS INCISOS III, IV E VIII DO § 2º DO ART. 121 DESTE CODIGO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;PARQUE DOS DIAMANTES;MS;ROCHEDO;5007505;2025;10/11/2025;00:10:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;37.0
1094/2025 - DP-APARECIDA;FEMINICIDIO;FEMINICIDIO, CRIMES VIOLENTOS LETAIS INTENCIONAIS, FATOS TIPICOS, PROJETO ACOLHIDA;JARDIM REDENTORA;MS;APARECIDA DO TABOADO;5001003;2025;04/11/2025;22:55:00;AUTOR;MASCULINO;BRASILEIRO(A);ALFABETIZADO;BRANCA;18.0
