Nº BO;FATO;FATO AGRUPADO;BAIRRO DO FATO;UF DO FATO;MUNICÍPIO DO FATO;CÓDIGO IBGE;ANO DO FATO;DATA DO FATO;HORA DO FATO;ENVOLVIMENTO;SEXO;NACIONALIDADE;ESCOLARIDADE;COR/RAÇA;IDADE NO FATO
691/2026 - 1DEAM;LESAO CORPORAL, SE A LESAO FOR PRATICADA CONTRA A MULHER, POR RAZOES DA CONDIÇAO DO SEXO FEMININO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;PANORAMA;MS;CAMPO GRANDE;5002704;2026;26/01/2026;19:00:00;AUTOR;MASCULINO;N/I;N/I;N/I;47.0
43/2026 - DP-PORTO MURTINHO;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;PANTANAL;MS;PORTO MURTINHO;5006903;2026;26/01/2026;18:02:00;AUTOR;MASCULINO;ESTRANGEIRO(A);N/I;N/I;22.0
43/2026 - DP-PORTO MURTINHO;LESAO CORPORAL DOLOSA (VIOLENCIA DOMESTICA);LESAO CORPORAL DOLOSA, VIOLENCIA DOMESTICA, FATOS TIPICOS, DOS CRIMES CONTRA A PESSOA;PANTANAL;MS;PORTO MURTINHO;5006903;2026;26/01/2026;18:02:00;VÍTIMA;FEMININO;BRASILEIRO(A);N/I;PARDA;28.0
90/2026 - DP-APARECIDA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA GLORIA;MS;APARECIDA DO TABOADO;5001003;2026;26/01/2026;16:56:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PRETA;20.0
90/2026 - DP-APARECIDA;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;VILA GLORIA;MS;APARECIDA DO TABOADO;5001003;2026;26/01/2026;16:56:00;AUTOR;MASCULINO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;PRETA;20.0
90/2026 - DP-APARECIDA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;VILA GLORIA;MS;APARECIDA DO TABOADO;5001003;2026;26/01/2026;16:56:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;N/I;19.0
90/2026 - DP-APARECIDA;VIAS DE FATO (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, VIAS DE FATO, FATOS TIPICOS, DAS CONTRAVENCOES PENAIS;VILA GLORIA;MS;APARECIDA DO TABOADO;5001003;2026;26/01/2026;16:56:00;VÍTIMA;FEMININO;BRASILEIRO(A);FUNDAMENTAL INCOMPLETO;N/I;19.0
419/2026 - 1DP-CORUMBA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;AEROPORTO;MS;CORUMBÁ;5003207;2026;26/01/2026;16:15:00;AUTOR;MASCULINO;BRASILEIRO(A);N/I;PARDA;32.0
419/2026 - 1DP-CORUMBA;AMEACA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, AMEAÇA, FATOS TIPICOS;AEROPORTO;MS;CORUMBÁ;5003207;2026;26/01/2026;16:15:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;39.0
93/2026 - DAM-DOURADOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;VILA CACHOEIRINHA;MS;DOURADOS;5003702;2026;26/01/2026;15:25:00;AUTOR;FEMININO;BRASILEIRO(A);N/I;PARDA;29.0
93/2026 - DAM-DOURADOS;INJURIA (VIOLENCIA DOMESTICA);VIOLENCIA DOMESTICA, INJURIA, FATOS TIPICOS;VILA CACHOEIRINHA;MS;DOURADOS;5003702;2026;26/01/2026;15:25:00;VÍTIMA;FEMININO;BRASILEIRO(A);MEDIO COMPLETO;PARDA;40.0
